[2025-04-22 20:41:53,765] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:41:54,785] anonymous, Request: POST /auth/login/ 400
[2025-04-22 20:41:54,797] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:41:56,788] anonymous, Request: POST /auth/login/ 401
[2025-04-22 20:41:56,838] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:42:00,293] anonymous, Request: POST /auth/login/ 200
[2025-04-22 20:42:00,313] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:42:01,373] anonymous, Request: POST /auth/register/ 401
[2025-04-22 20:42:01,861] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:42:03,790] anonymous, Request: POST /auth/register/ 200
[2025-04-22 20:42:06,931] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 20:42:54,291] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:42:55,797] anonymous, Request: POST /auth/login/ 400
[2025-04-22 20:42:55,811] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:42:57,820] anonymous, Request: POST /auth/login/ 401
[2025-04-22 20:42:57,832] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:42:59,937] anonymous, Request: POST /auth/login/ 200
[2025-04-22 20:42:59,963] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:43:01,102] anonymous, Request: POST /auth/register/ 401
[2025-04-22 20:43:02,983] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:43:07,701] anonymous, Request: POST /auth/register/ 200
[2025-04-22 20:43:13,441] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 21:01:35,812] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:01:36,900] anonymous, Request: POST /auth/login/ 400
[2025-04-22 21:01:36,917] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:01:40,027] anonymous, Request: POST /auth/login/ 401
[2025-04-22 21:01:40,055] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:01:42,068] anonymous, Request: POST /auth/login/ 200
[2025-04-22 21:01:42,081] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:01:43,064] anonymous, Request: POST /auth/register/ 401
[2025-04-22 21:01:43,514] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:01:45,351] anonymous, Request: POST /auth/register/ 200
[2025-04-22 21:01:53,895] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 21:02:26,987] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:02:28,138] anonymous, Request: POST /auth/login/ 400
[2025-04-22 21:02:28,445] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:02:30,341] anonymous, Request: POST /auth/login/ 401
[2025-04-22 21:02:30,370] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:02:32,537] anonymous, Request: POST /auth/login/ 200
[2025-04-22 21:02:32,555] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:02:34,226] anonymous, Request: POST /auth/register/ 401
[2025-04-22 21:02:35,242] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:02:37,743] anonymous, Request: POST /auth/register/ 200
[2025-04-22 21:02:43,194] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 21:03:15,890] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:03:16,961] anonymous, Request: POST /auth/login/ 400
[2025-04-22 21:03:17,039] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:03:19,177] anonymous, Request: POST /auth/login/ 401
[2025-04-22 21:03:19,361] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:03:22,267] anonymous, Request: POST /auth/login/ 200
[2025-04-22 21:03:22,770] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:03:23,731] anonymous, Request: POST /auth/register/ 401
[2025-04-22 21:03:23,744] anonymous, Request: GET /getcsrf/ 200
